现在 /t 49	 , [“/w, 现在/t, 警察/nnt
当时 /t 28	  说明着/n, 当时/t, 可怕/a, 
今天 /t 19	 , 爸爸/n, 今天/t, 为什么/ry
朝 /t 15	 i, 在/p, 朝/tg, 深井/n,
最近 /t 14	 , 姐姐/n, 最近/t, 的/ude1
刚才 /t 12	 i, 对/p, 刚才/t, 美幸/nz,
昨天 /t 9	  ，/w], [昨天/t, 我/rr, 
晚上 /t 9	 这天/rzt, 晚上/t, ，/w], 
后来 /t 8	 , 男人/n, 后来/t, 又/d, 怎
早晨 /t 7	 d, 从/p, 早晨/t, 到/v, 午
星期三 /t 6	 m, 到/v, 星期三/t, 回来/v, 
明天 /t 6	 是/vshi, 明天/t, 还是/c, 
中午 /t 6	 , [“/w, 中午/t, 出去/vf,
当天 /t 5	  [因为/c, 当天/t, 正好/z, 
平时 /t 5	 e, 比/p, 平时/t, 更大/d, 
星期五 /t 3	 是/vshi, 星期五/t, 。/w], 
上次 /t 3	 , [同/p, 上次/t, 见面/vi,
傍晚 /t 3	 , 天/qt, 傍晚/t, ，/w], 
八月 /t 3	 [1/m], [八月/t, 里/f, 晴
来时 /t 3	 r, 回/v, 来时/t, 妙子/nrj
今后 /t 2	 , [对/p, 今后/t, 的/ude1
夜里 /t 2	 , 当天/t, 夜里/t, 了/ule,
星期四 /t 2	  ，/w], [星期四/t, 的/ude1
每天 /t 2	 , 还是/c, 每天/t, 都/d, 见
星期六 /t 2	 [8/m], [星期六/t, 的/ude1
星期一 /t 2	 是/vshi, 星期一/t, 。/w], 
酒后 /t 2	 , 喝/vg, 酒后/t, 话/n, 便
晚 /t 2	  天/qt, 傍晚/t, ，/w], 
当初 /t 2	 , 按照/p, 当初/t, 我们/rr,
每年 /t 1	 差不多/al, 每年/t, 一/m, 至
火头上 /t 1	 r, 在/p, 火头上/t, 的/ude1
周三 /t 1	 w, 上/f, 周三/t, ?/w], 
来年 /t 1	  ？/w], [来年/t, 你/rr, 
白天 /t 1	 , [跟/p, 白天/t, 的/ude1
刹那间 /t 1	 b, 在/p, 刹那间/t, 屏住/v, 
夏季 /t 1	 的/ude1, 夏季/t, 针织/b, 
秋 /t 1	  了/ule, 秋/tg, 子真/nz
上周 /t 1	 是/vshi, 上周/t, 三/m, 。
下午 /t 1	 这天/rzt, 下午/t, ，/w], 
生前 /t 1	  [他/rr, 生前/t, 曾/d, 表
往日 /t 1	  了/ule, 往日/t, 的/ude1
早上 /t 1	  [今天/t, 早上/t, 我们/rr,
将来 /t 1	 的/ude1, 将来/t, 的/ude1
年前 /t 1	  [十二/m, 年前/t, 她/rr, 
以往 /t 1	 [是因为/c, 以往/t, 他/rr, 
