现在 /t 243	  [他/rr, 现在/t, 早就/d, 
刚才 /t 103	  ！/w], [刚才/t, 不是/c, 
今天 /t 68	  [可是/c, 今天/t, 晚上/t, 
晚上 /t 59	 , 今天/t, 晚上/t, 有/vyou
当时 /t 54	  。/w], [当时/t, 阿诚/nrj
最近 /t 32	 , 距离/n, 最近/t, 的/ude1
昨天 /t 28	 i, 在/p, 昨天/t, 向/p, 他
晚 /t 25	 , 稍微/d, 晚/tg, 回来/v,
早上 /t 20	 , 每天/t, 早上/t, 都会/n, 
目前 /t 19	  [但是/c, 目前/t, 并/cc, 
明天 /t 15	 w, 从/p, 明天/t, 开始/v, 
年前 /t 15	  十几/mq, 年前/t, 的/ude1
每天 /t 14	  [她/rr, 每天/t, 早上/t, 
今后 /t 14	  ，/w], [今后/t, 重拾/v, 
后来 /t 14	 g, 也/d, 后来/t, 对/p, 那
下午 /t 10	 是/vshi, 下午/t, 五/m, 点
傍晚 /t 9	 , 今天/t, 傍晚/t, 的/ude1
昨晚 /t 8	  。/w], [昨晚/t, 他/rr, 
半夜 /t 8	 , 还是/c, 半夜/t, 。/w], 
当初 /t 8	 ——/w], [当初/t, 买/v, 的
深夜 /t 8	  了/ule, 深夜/t, ，/w], 
今晚 /t 7	 是/vshi, 今晚/t, 和/cc, 
中午 /t 7	 , 已经/d, 中午/t, 时分/n, 
上次 /t 7	 , [“/w, 上次/t, 那张/nr,
今年 /t 7	 v, 摩/b, 今年/t, 已经/d, 
未来 /t 6	 的/ude1, 未来/t, ，/w], 
下次 /t 5	 , 知道/v, 下次/t, 不/d, 可
白天 /t 4	  。/w], [白天/t, 就/d, 这
平时 /t 4	  [不过/c, 平时/t, 应该/v, 
朝 /t 4	 , 一头/d, 朝/tg, 这里/rz
每年 /t 3	  ，/w], [每年/t, 都会/n, 
去年底 /t 3	 w, 在/p, 去年底/t, 之前/f, 
当天 /t 3	  [假设/n, 当天/t, 刑警/nnt
平日 /t 3	 , 崎/ng, 平日/t, 的/ude1
以往 /t 3	 , 参照/v, 以往/t, 的/ude1
来时 /t 3	 v, 话/n, 来时/t, ，/w], 
五月 /t 2	 , 今年/t, 五月/t, 七/m, 日
清 /t 2	  完全/ad, 清/tg, 干净/a,
暑假 /t 2	 , [“/w, 暑假/t, 已经/d, 
今 /t 2	 , 隶属/v, 今/tg, 井/n, 
往后 /t 2	 , 可以/v, 往后/t, 看/v, ，
前不久 /t 2	 , 案发/v, 前不久/t, ，/w], 
星期一 /t 2	 的/ude1, 星期一/t, ，/w], 
去年 /t 2	 r, 摩/b, 去年/t, 还/d, 穿
凌晨 /t 2	 , 今天/t, 凌晨/t, 的/ude1
事前 /t 2	 , 只是/d, 事前/t, 讨论/v, 
往常 /t 2	 c, 像/v, 往常/t, 一样/uyy
中古 /t 2	 是/vshi, 中古/t, 民宿/nrj
将来 /t 2	  意识到/v, 将来/t, 女儿/n, 
夏季 /t 2	 的/ude1, 夏季/t, 水手服/n,
十一月 /t 2	 , 去年/t, 十一月/t, 。/w], 
现 /t 1	 , 一发/d, 现/tg, 鲇村/nr
午时 /t 1	 过/uguo, 午时/t, 分/qt, 
午间 /t 1	 , 播放/v, 午间/t, 新闻/n, 
七月 /t 1	 w, 从/p, 七月/t, 开始/v, 
星期日 /t 1	  一个/mq, 星期日/t, 之后/f, 
一月 /t 1	  去年/t, 十一月/t, 。/w], 
行前 /t 1	 i, 电/n, 行前/t, 面/nf, 
日前 /t 1	 先生/nrj, 日前/t, 失踪/vi,
夏 /t 1	 i, 凉/a, 夏/tg, ，/w],
四月 /t 1	 , 大约/d, 四月/t, 的/ude1
周末 /t 1	 [这个/rz, 周末/t, 已经/d, 
大清早 /t 1	 是/vshi, 大清早/t, ，/w], 
生前 /t 1	 , 崎/ng, 生前/t, 做/v, 了
从前 /t 1	  ，/w], [从前/t, 面/nf, 
星期六 /t 1	 , 因为/c, 星期六/t, 上班/vi,
往年 /t 1	 , 和/cc, 往年/t, 没什么/vl
当晚 /t 1	 v, 摩/b, 当晚/t, 下车/vi,
一早 /t 1	 , 天/qt, 一早/t, 你/rr, 
清晨 /t 1	 是/vshi, 清晨/t, 五/m, 点
十月 /t 1	 , 进入/v, 十月/t, 后/f, 不
周六 /t 1	 , [隔/v, 周六/t, 她/rr, 
昏 /t 1	 p, 弄/v, 昏/tg, 人/n, 
饭后 /t 1	 f, 盖/v, 饭后/t, ，/w], 
而今 /t 1	  ，/w], [而今/t, 天/qt, 
上周 /t 1	 b, 阖/n, 上周/t, 刊/vg, 
上星期 /t 1	  ？/w], [上星期/t, 的/ude1
