警察 /nn 88	 m, 个/q, 警察/nnt, 说/v, 
刑警 /nn 82	  [年轻/a, 刑警/nnt, 跟/p, 
演员 /nn 67	 果然/d, 舞蹈演员/nnd, 不/d, 
老师 /nn 65	 , 柳/ng, 老师/nnt, 从/p, 
公主 /nn 48	 罗拉/nrf, 公主/nnd, 在/p, 
舞者 /nn 48	 的/ude1, 舞者/nnt, 。/w],
成员 /nn 29	 的/ude1, 成员/nnt, 吧/y, 
舞蹈演员 /nn 23	  [果然/d, 舞蹈演员/nnd, 不/d, 
警官 /nn 22	 的/ude1, 警官/nnt, 站/vi,
老板 /nn 20	 的/ude1, 老板/nnt, 正用/v,
医生 /nn 16	 , 叫/vi, 医生/nnt, ……/w]
警员 /nn 16	 的/ude1, 警员/nnt, 们/k, 
服务生 /nn 12	  [虽然/c, 服务生/nnd, 记不清/v
教练 /nn 10	 q, 男/b, 教练/nnt, 三/m, 
学生 /nn 10	 的/ude1, 学生/nnt, ，/w],
导演 /nn 9	 , 和/cc, 导演/nnt, 三/m, 
服务员 /nn 7	  ，/w], [服务员/nnt, 还/d, 
女演员 /nn 7	 , 舞团/n, 女演员/nnd, 中的/v,
工作人员 /nn 6	 , 舞台/n, 工作人员/nnt, 探听/v,
木匠 /nn 6	 , 业余/b, 木匠/nnd, 铺/v, 
棒球 /nn 6	 是/vshi, 棒球/nnd, 吗/y, 
女一号 /nn 6	 的/ude1, 女一号/nnt, 要是/c,
副教授 /nn 6	 藤/nrjb, 副教授/nnt, 也/d, 
主任 /nn 6	 , 搜查/v, 主任/nnt, 、/w, 
模特 /nn 6	 的/ude1, 模特/nnt, 。/w],
政治家 /nn 5	  有些/rz, 政治家/nnt, 和/cc,
教师 /nn 5	  芭蕾舞/n, 教师/nnt, 一/m, 
国王 /nn 4	  。/w], [国王/nnt, 和/cc,
王妃 /nn 4	 , 和/cc, 王妃/nnd, 登场/vi
警长 /nn 4	 [”/w], [警长/nnt, 苦笑/vi
球员 /nn 4	 明星/nnd, 球员/nnt, 采访/v,
组长 /nn 4	 [”/w], [组长/nnt, 那张/nr
副驾驶 /nn 4	 , 坐在/v, 副驾驶/nnt, 座/q, 
职员 /nn 4	 务局/nis, 职员/nnt, ，/w],
主角 /nn 4	 是/vshi, 主角/nnt, 奥罗拉/n
团员 /nn 3	  其它/rz, 团员/nnt, ，/w],
科长 /nn 3	 , 刑事/b, 科长/nnt, 作/v, 
牙医 /nn 3	 , 拿到/v, 牙医/nnd, 那儿/rz
版画家 /nn 3	 是/vshi, 版画家/nnd, 的/ude
经理 /nn 3	 的/ude1, 经理/nnt, ，/w],
护士 /nn 2	 , [听/v, 护士/nnt, 说/v, 
守门员 /nn 2	  ，/w], [守门员/nnt, 啊/y, 
队员 /nn 2	 d, 个/q, 队员/nnt, 连/uli
队长 /nn 2	  ，/w], [队长/nnt, 你/rr,
记者 /nn 2	 被/pbei, 记者/nnt, 们/k, 
相扑 /nn 2	 , [像/v, 相扑/nnd, ，/w],
证人 /nn 2	  [很多/m, 证人/nnt, 都会/n,
投手 /nn 2	 , 对手/n, 投手/nnt, 的/ude
司机 /nn 2	 , 招呼/v, 司机/nnt, 去石/n,
办事员 /nn 2	 a, 女/b, 办事员/nnt, 正/d, 
法医 /nn 2	 大学/nis, 法医/nnt, 研究室/n
中学生 /nn 2	  [看到/v, 中学生/nnd, 模样/n,
代表 /nn 2	 , 作为/p, 代表/nnt, 开口/vi
侍女 /nn 1	 , 和/cc, 侍女/nnd, 们/k, 
团长 /nn 1	 舞团/nis, 团长/nnt, 、/w, 
职业演员 /nn 1	 , 作为/p, 职业演员/nnd, 自我意识/
歌舞伎 /nn 1	  以及/cc, 歌舞伎/nnd, 相关/vn
班主任 /nn 1	 中时代/nz, 班主任/nnt, 的/ude
店主 /nn 1	 的/ude1, 店主/nnd, ……/w]
店员 /nn 1	  一个/mq, 店员/nnt, 正/d, 
后卫 /nn 1	 的/ude1, 后卫/nnt, 啊/y, 
主治医师 /nn 1	 的/ude1, 主治医师/nnt, 说/v, 
作家 /nn 1	 , 或者/c, 作家/nnt, 那种/r,
零工 /nn 1	 , 这种/r, 零工/nnd, 也/d, 
法官 /nn 1	 , 或者/c, 法官/nnt, 。/w],
大学生 /nn 1	 v, 就/d, 大学生/nnt, 和/cc,
摄影师 /nn 1	 是/vshi, 摄影师/nnt, 或者/c,
初中生 /nn 1	 1, 女/b, 初中生/nnd, ，/w],
负责人 /nn 1	 的/ude1, 负责人/nnt, 见了面/l
画家 /nn 1	 的/ude1, 画家/nnt, ，/w],
播音员 /nn 1	  了/ule, 播音员/nnt, 的/ude
律师 /nn 1	 , 安排/v, 律师/nnt, 的/ude
艺术家 /nn 1	 , 当作/v, 艺术家/nnt, 来/vf,
工作者 /nn 1	 , 舞台/n, 工作者/nnt, 一定/b,
明星 /nn 1	 v, 对/p, 明星/nnd, 球员/nn
高中生 /nn 1	 , 还是/c, 高中生/nnd, ，/w],
指挥家 /nn 1	  ，/w], [指挥家/nnt, 在/p, 
教授 /nn 1	 /nrjb, 副教授/nnt, 也/d, 
医师 /nn 1	 的/ude1, 医师/nnt, 。/w],
